Comment.id|Person.id
1374396068827|65
1374396069068|65
2061584931819|65
1099512020664|94
1236954796220|94
1374390902151|94
137439360451|94
137439700694|94
137439701953|94
1511828550152|94
1511833455128|94
1786707141880|94
1786710887565|94
1924147750379|94
2061586792572|94
274878283667|94
274880581262|94
274880581392|94
274880581598|94
274883017547|94
412317478460|94
412321968097|94
549760552979|94
687195453516|94
824634406951|94
962073360512|94
137440107250|96
1924150108353|96
274882675881|96
412321628691|96
549756968962|96
1099511983771|102
1236951103033|102
1236955760099|102
1374390397309|102
137439149706|102
1374392076392|102
1374394340397|102
137439751139|102
137444020248|102
137444020296|102
1511829710216|102
1649267522046|102
1649272620693|102
1786709177671|102
1924146179962|102
1924148425598|102
2061584382660|102
2061587150352|102
2199028434335|102
274878768675|102
274878769883|102
274882973693|102
274884312426|102
412317056979|102
412317382289|102
412317667134|102
412318099559|102
412319359340|102
549756009968|102
549757023094|102
549758662011|102
549760930818|102
549760930993|102
687195150384|102
687197844208|102
687199946186|102
824634582830|102
824636262267|102
962073024793|102
962073059121|102
962075200594|102
1099512229063|143
1099514557854|143
1099516708917|143
1236951466155|143
1236955505979|143
1374390001465|143
1374390397233|143
1374390578060|143
1374392405978|143
1374392479680|143
1374394406778|143
1374394554053|143
1374396083812|143
137439703123|143
137445307364|143
1511830617698|143
1511832792321|143
1511833362398|143
1649267908391|143
1649268738683|143
1649273896685|143
1786706840181|143
1786709274468|143
1786711319698|143
1924145795397|143
1924148138815|143
1924148346463|143
1924148346551|143
1924149889197|143
1924151683969|143
2061584639572|143
2061585394721|143
2061587260284|143
2061590637588|143
274878286758|143
274878656521|143
274878769392|143
274879166547|143
274883016636|143
274884261070|143
2923572|143
412317198174|143
412317610163|143
412318120059|143
412319708840|143
412321968411|143
412323335174|143
549756193747|143
549756563377|143
549757052945|143
549758622978|143
549760296920|143
549760923315|143
6474532|143
687195516766|143
687197066915|143
687199692372|143
749420|143
824634470506|143
824635946524|143
824636450519|143
824636665878|143
824640074939|143
962073065034|143
962073558979|143
962075522468|143
962077776718|143
1099511763075|150
1099511889262|150
1099514240440|150
1099516483227|150
1236950842670|150
1236955436461|150
1374390474127|150
1374392576981|150
1374394092500|150
1374394388615|150
137440057330|150
137443614897|150
1511829427603|150
1511833699428|150
1649268495744|150
1649270231214|150
1786706646622|150
1786708742699|150
1786712831173|150
1924146358812|150
1924147912579|150
1924149906367|150
2061584436659|150
2061586750120|150
2061589028323|150
261523|150
274878168405|150
274882984864|150
274884355652|150
274884393109|150
412317121808|150
