1653,0-1653-2020-11-07 00:00:00,0-1653-2020-11-07 00:00:00-7,2020-11-07 00:03:00,Impression,1,8,2087,http://tiger-mart.com/Sports+Outdoors/Bikes/item-1412-4572.html,http://tiger-mart.com/Sports+Outdoors/Bikes/item-1412-4572.html,2546
1653,0-1653-2020-11-07 00:00:00,0-1653-2020-11-07 00:00:00-9,2020-11-07 00:17:00,Impression,3,10,2087,http://tiger-mart.com/ProductCategory/Makeup/Makeup.html,http://tiger-mart.com/ProductCategory/Makeup/Makeup.html,727
1653,0-1653-2020-11-07 00:00:00,0-1653-2020-11-07 00:00:00-11,2020-11-07 00:30:00,Click,1,12,2087,http://tiger-mart.com/TopMenu/Department/Electronics.html,http://tiger-mart.com/TopMenu/Department/Electronics.html,1130
1653,0-1653-2020-11-07 00:00:00,0-1653-2020-11-07 00:00:00-13,2020-11-07 00:08:00,Impression,2,14,2087,http://tiger-mart.com/BottomMenu/Department/Books.html,http://tiger-mart.com/BottomMenu/Department/Books.html,382
1653,0-1653-2020-11-07 00:00:00,0-1653-2020-11-07 00:00:00-15,2020-11-07 00:24:00,Click,1,16,2087,http://tiger-mart.com/PopUpMenu/Deals/NewReleases.html,http://tiger-mart.com/PopUpMenu/Deals/NewReleases.html,2189
1653,0-1653-2020-10-02 00:00:00,0-1653-2020-10-02 00:00:00-1,2020-10-02 00:26:00,Click,3,2,861,http://tiger-mart.com/PopUpMenu/Deals/NewReleases.html,http://tiger-mart.com/PopUpMenu/Deals/NewReleases.html,1845
1653,0-1653-2020-10-02 00:00:00,0-1653-2020-10-02 00:00:00-3,2020-10-02 00:11:00,Request,1,4,861,http://tiger-mart.com/PersonalCare/Bath+Body/item-3228-4037.html,http://tiger-mart.com/PersonalCare/Bath+Body/item-3228-4037.html,1449
1653,0-1653-2020-10-02 00:00:00,0-1653-2020-10-02 00:00:00-5,2020-10-02 00:05:00,Impression,1,6,861,http://tiger-mart.com/Sports+Outdoors/Sports/item-2445-acde.html,http://tiger-mart.com/Sports+Outdoors/Sports/item-2445-acde.html,2632
1653,0-1653-2020-10-02 00:00:00,0-1653-2020-10-02 00:00:00-7,2020-10-02 00:31:00,Click,1,8,861,http://tiger-mart.com/Baby/Nursery+Decor/item-2175-4fa6.html,http://tiger-mart.com/Baby/Nursery+Decor/item-2175-4fa6.html,823
1653,0-1653-2020-10-02 00:00:00,0-1653-2020-10-02 00:00:00-9,2020-10-02 00:16:00,Click,2,10,861,http://tiger-mart.com/PersonalCare/Shaving/item-0259-617f.html,http://tiger-mart.com/PersonalCare/Shaving/item-0259-617f.html,2711
