user_id, book_id, book_date, book_rating
8,112056,2021-09-30 00:00:00,4
8,56756,2021-07-08 00:00:00,7
9,134836,2020-11-12 00:00:00,8
11,52487,2021-04-11 00:00:00,4
12,165093,2021-08-17 00:00:00,9
19,70403,2021-09-02 00:00:00,1
19,30662,2021-04-14 00:00:00,8
20,10843,2021-05-29 00:00:00,2
20,93326,2021-04-05 00:00:00,2
21,193900,2021-06-16 00:00:00,1
26,78902,2021-12-26 00:00:00,8
29,130420,2021-10-03 00:00:00,8
33,56150,2021-04-10 00:00:00,5
33,141265,2021-01-29 00:00:00,7
37,189524,2021-09-27 00:00:00,3
42,163220,2021-11-05 00:00:00,7
43,54289,2020-09-29 00:00:00,3
43,216598,2021-01-30 00:00:00,5
45,821,2021-11-05 00:00:00,1
45,151013,2021-03-14 00:00:00,3
51,52314,2021-01-05 00:00:00,2
53,156925,2021-11-22 00:00:00,9
54,214570,2021-11-09 00:00:00,4
55,191419,2021-01-30 00:00:00,9
58,179566,2021-05-02 00:00:00,9
60,17069,2021-02-15 00:00:00,5
62,96808,2020-10-03 00:00:00,9
66,61070,2020-11-26 00:00:00,7
72,132803,2020-09-27 00:00:00,2
72,66707,2021-05-05 00:00:00,3
73,26809,2021-05-18 00:00:00,5
76,77400,2020-10-17 00:00:00,2
79,149227,2021-04-01 00:00:00,1
79,31145,2021-05-30 00:00:00,3
82,95966,2020-11-19 00:00:00,6
85,121410,2021-08-25 00:00:00,2
87,119168,2020-10-03 00:00:00,1
97,59666,2021-12-30 00:00:00,3
105,137905,2021-06-01 00:00:00,9
109,222755,2020-10-06 00:00:00,6
116,128273,2021-04-23 00:00:00,5
120,234198,2021-09-29 00:00:00,4
123,17189,2020-11-26 00:00:00,4
125,5236,2021-12-07 00:00:00,4
127,127091,2020-09-29 00:00:00,8
131,170343,2021-04-17 00:00:00,7
131,45469,2021-07-05 00:00:00,9
140,20164,2020-11-15 00:00:00,3
140,214473,2021-10-15 00:00:00,6
141,98416,2021-02-15 00:00:00,7
141,103137,2021-01-21 00:00:00,2
145,60530,2021-02-11 00:00:00,3
153,28744,2021-03-07 00:00:00,5
153,104781,2021-08-18 00:00:00,9
153,141653,2021-12-05 00:00:00,6
157,78844,2021-08-09 00:00:00,3
157,98373,2021-08-27 00:00:00,7
160,212523,2021-12-01 00:00:00,3
162,43284,2021-04-02 00:00:00,7
163,68748,2021-09-23 00:00:00,7
178,51830,2021-11-11 00:00:00,3
181,219534,2021-08-14 00:00:00,2
191,113983,2021-09-22 00:00:00,9
194,196366,2021-06-19 00:00:00,3
197,182545,2021-12-12 00:00:00,4
198,197033,2021-03-16 00:00:00,9
199,179080,2020-09-04 00:00:00,1
199,16147,2021-10-10 00:00:00,2
203,223172,2021-08-10 00:00:00,7
219,36589,2020-12-27 00:00:00,1
219,104665,2021-07-03 00:00:00,4
220,202386,2021-10-18 00:00:00,7
222,136901,2020-10-05 00:00:00,6
224,202283,2021-06-19 00:00:00,3
224,16844,2021-09-06 00:00:00,1
226,29524,2021-05-06 00:00:00,8
229,59575,2021-06-08 00:00:00,5
232,141444,2021-11-05 00:00:00,9
233,156901,2021-09-20 00:00:00,5
236,185912,2021-03-29 00:00:00,8
239,232325,2021-12-13 00:00:00,2
241,192856,2020-12-05 00:00:00,6
242,234129,2021-10-20 00:00:00,7
242,6956,2021-12-17 00:00:00,4
243,34725,2021-01-18 00:00:00,2
246,112884,2021-12-21 00:00:00,5
251,191197,2021-02-25 00:00:00,4
252,229023,2020-09-29 00:00:00,1
252,216769,2021-01-22 00:00:00,5
256,97812,2021-10-15 00:00:00,7
257,31899,2021-11-25 00:00:00,5
260,31965,2021-02-20 00:00:00,6
262,226081,2020-11-01 00:00:00,5
270,235614,2021-10-12 00:00:00,4
275,142937,2021-04-20 00:00:00,4
278,118688,2020-09-14 00:00:00,1
283,208486,2021-04-30 00:00:00,6
284,117483,2021-11-15 00:00:00,2
284,98430,2020-11-11 00:00:00,8
285,210702,2021-09-10 00:00:00,9
289,39309,2021-12-07 00:00:00,9
294,17772,2021-10-06 00:00:00,5
299,42306,2021-08-21 00:00:00,5
299,15759,2021-08-12 00:00:00,4
299,160486,2020-10-31 00:00:00,9
299,55150,2020-11-11 00:00:00,9
299,82580,2021-04-24 00:00:00,2
300,28624,2021-06-02 00:00:00,3
302,116245,2021-05-04 00:00:00,5
304,62172,2021-08-04 00:00:00,6
307,190927,2021-05-11 00:00:00,6
310,67987,2020-09-22 00:00:00,4
311,15869,2021-12-02 00:00:00,6
315,52028,2021-09-25 00:00:00,2
319,141089,2021-07-15 00:00:00,9
321,151128,2021-12-15 00:00:00,6
326,74149,2021-04-11 00:00:00,8
327,141525,2021-09-24 00:00:00,9
329,30572,2021-08-23 00:00:00,5
