address_id,zipcode,city,state_abbr,state,county_id,county_name,msa_id,msa_name,lat,lng,population,market_id,market_name,region_id,region_name,store_id,other
1,19701,Bear,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.6188,-75.6804,0,5,South Atlantic,3,South,115,0
2,19701,Bear,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.6188,-75.6804,0,5,South Atlantic,3,South,115,0
3,19703,Claymont,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.8032,-75.4606,0,5,South Atlantic,3,South,99,6.238602785
4,19703,Claymont,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.8032,-75.4606,0,5,South Atlantic,3,South,99,6.238602785
5,19706,Delaware City,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.5776,-75.5985,1742,5,South Atlantic,3,South,116,0
6,19706,Delaware City,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.5776,-75.5985,1742,5,South Atlantic,3,South,116,0
7,19707,Hockessin,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.7837,-75.6815,0,5,South Atlantic,3,South,115,11.37662812
8,19707,Hockessin,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.7837,-75.6815,0,5,South Atlantic,3,South,115,11.37662812
9,19709,Middletown,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.4451,-75.7165,32540,5,South Atlantic,3,South,117,0
10,19709,Middletown,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.4451,-75.7165,32540,5,South Atlantic,3,South,117,0
11,19709,Odessa,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.4562,-75.6605,372,5,South Atlantic,3,South,117,3.091447031
12,19709,Odessa,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.4562,-75.6605,372,5,South Atlantic,3,South,117,3.091447031
13,19711,Roseville Park,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.6996,-75.713,0,5,South Atlantic,3,South,115,5.839131254
14,19711,Roseville Park,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.6996,-75.713,0,5,South Atlantic,3,South,115,5.839131254
15,19713,Newark,DE,Delaware,10003,New Castle,37980,Philadelphia-Camden-Wilmington,39.6777,-75.7573,33398,5,South Atlantic,3,South,115,5.773415281
