user_id, order_nbr, order_source, order_timestamp, order_type, store_id, promo_id, order_qty, order_amt, order_profit, item_id, item_qty, item_price, item_cost, item_amt, item_profit
1,100,Amazon,2020-09-07 00:00:00,eCommerce-Web,138,588,4,2110.8199999999997,1171.01,0608-50af,3,139.95,83.97,419.84999999999997,167.93999999999997
1,100,Amazon,2020-09-07 00:00:00,eCommerce-Web,138,588,4,2110.8199999999997,1171.01,4753-9fae,2,121.5,60.75,243.0,121.5
1,100,Amazon,2020-09-07 00:00:00,eCommerce-Web,138,588,4,2110.8199999999997,1171.01,1030-eb4a,1,127.99,38.4,127.99,89.59
1,100,Amazon,2020-09-07 00:00:00,eCommerce-Web,138,588,4,2110.8199999999997,1171.01,2388-9135,2,659.99,264.0,1319.98,791.98
2,101,Tiger-Mart,2021-05-04 00:00:00,Partner,54,574,5,1448.56,702.76,2127-80dd,1,637.57,318.79,637.57,318.78000000000003
2,101,Tiger-Mart,2021-05-04 00:00:00,Partner,54,574,5,1448.56,702.76,2377-0a05,1,67.99,40.79,67.99,27.199999999999996
2,101,Tiger-Mart,2021-05-04 00:00:00,Partner,54,574,5,1448.56,702.76,3406-268c,1,188.45,56.54,188.45,131.91
2,101,Tiger-Mart,2021-05-04 00:00:00,Partner,54,574,5,1448.56,702.76,1897-f545,2,15.33,7.67,30.66,15.32
2,101,Tiger-Mart,2021-05-04 00:00:00,Partner,54,574,5,1448.56,702.76,0918-d97e,3,174.63,104.78,523.89,209.54999999999995
2,102,eBay,2021-10-29 00:00:00,eCommerce-Web,149,173,3,948.6500000000001,604.34,3789-357f,2,74.54,44.72,149.08,59.640000000000015
2,102,eBay,2021-10-29 00:00:00,eCommerce-Web,149,173,3,948.6500000000001,604.34,0712-fc46,1,49.99,29.99,49.99,20.000000000000004
2,102,eBay,2021-10-29 00:00:00,eCommerce-Web,149,173,3,948.6500000000001,604.34,0707-0cd8,3,249.86,74.96,749.58,524.7
2,103,Target,2021-10-14 00:00:00,eCommerce-Web,273,716,9,2873.939999999999,1154.8300000000002,1655-887c,1,194.86,97.43,194.86,97.43
