user_id, campaign_id, solicit_timestamp
1,55,2021-06-13 00:00:00
2,313,2021-08-23 00:00:00
2,101,2021-08-11 00:00:00
3,376,2020-09-04 00:00:00
3,404,2021-07-08 00:00:00
4,173,2021-02-07 00:00:00
4,131,2021-02-25 00:00:00
4,409,2021-05-12 00:00:00
4,124,2021-06-30 00:00:00
5,474,2020-12-15 00:00:00
5,69,2021-04-16 00:00:00
5,99,2021-02-28 00:00:00
6,351,2021-04-02 00:00:00
8,170,2021-01-15 00:00:00
8,212,2020-11-19 00:00:00
8,25,2020-10-10 00:00:00
8,78,2021-07-16 00:00:00
8,58,2020-11-09 00:00:00
8,419,2020-09-18 00:00:00
9,450,2021-08-02 00:00:00
9,119,2020-11-12 00:00:00
9,217,2021-06-10 00:00:00
10,70,2021-02-08 00:00:00
10,366,2021-10-09 00:00:00
11,169,2021-08-04 00:00:00
11,435,2021-04-11 00:00:00
12,61,2021-02-21 00:00:00
12,170,2021-04-22 00:00:00
12,294,2021-05-22 00:00:00
14,362,2020-11-23 00:00:00
14,42,2020-11-12 00:00:00
14,66,2021-06-25 00:00:00
15,20,2021-06-26 00:00:00
15,224,2021-06-30 00:00:00
15,391,2021-06-05 00:00:00
15,268,2021-09-03 00:00:00
15,235,2021-12-25 00:00:00
16,439,2021-03-08 00:00:00
16,322,2021-12-14 00:00:00
16,88,2021-04-10 00:00:00
16,221,2021-07-23 00:00:00
17,208,2021-05-20 00:00:00
17,374,2021-05-21 00:00:00
18,319,2021-06-09 00:00:00
18,191,2021-12-19 00:00:00
18,248,2021-11-27 00:00:00
18,214,2021-07-18 00:00:00
19,221,2020-12-20 00:00:00
19,249,2021-12-07 00:00:00
19,451,2021-04-14 00:00:00
19,14,2021-02-18 00:00:00
19,214,2021-05-18 00:00:00
20,6,2021-09-03 00:00:00
20,175,2020-10-16 00:00:00
20,235,2021-05-02 00:00:00
20,391,2021-07-06 00:00:00
20,90,2020-12-07 00:00:00
21,435,2020-11-13 00:00:00
21,357,2021-10-09 00:00:00
21,463,2021-04-30 00:00:00
21,209,2021-06-16 00:00:00
21,309,2021-11-11 00:00:00
22,105,2021-01-05 00:00:00
22,79,2021-04-30 00:00:00
23,11,2021-02-28 00:00:00
24,42,2021-09-29 00:00:00
25,227,2020-09-09 00:00:00
25,106,2021-12-09 00:00:00
26,79,2021-10-31 00:00:00
26,107,2020-10-25 00:00:00
26,324,2021-06-19 00:00:00
26,419,2021-10-22 00:00:00
27,70,2021-12-22 00:00:00
27,429,2021-03-03 00:00:00
27,427,2021-08-25 00:00:00
27,140,2021-08-29 00:00:00
28,113,2021-06-28 00:00:00
28,169,2021-07-25 00:00:00
28,185,2021-03-09 00:00:00
29,193,2021-01-28 00:00:00
29,288,2021-01-26 00:00:00
30,400,2021-05-19 00:00:00
30,154,2021-12-24 00:00:00
30,407,2021-10-13 00:00:00
30,378,2021-03-09 00:00:00
