user_id, movie_id, movie_date, movie_rating
1,20811,2020-09-07 00:00:00,5
2,2668,2020-10-24 00:00:00,4
2,11394,2021-08-11 00:00:00,5
3,26521,2021-06-01 00:00:00,7
3,26225,2021-11-08 00:00:00,4
3,13954,2021-01-14 00:00:00,7
3,6120,2021-10-05 00:00:00,7
3,12719,2021-06-13 00:00:00,4
4,4568,2021-02-25 00:00:00,7
4,10613,2021-07-02 00:00:00,5
4,26745,2020-09-27 00:00:00,1
5,18865,2020-10-31 00:00:00,4
5,22463,2021-02-22 00:00:00,3
5,9728,2020-10-03 00:00:00,3
6,4556,2020-09-08 00:00:00,1
7,17720,2021-07-16 00:00:00,6
7,2748,2021-07-03 00:00:00,9
8,19017,2021-09-30 00:00:00,5
8,12081,2021-11-28 00:00:00,7
8,1781,2021-06-03 00:00:00,6
8,24458,2020-11-09 00:00:00,3
8,22396,2021-12-14 00:00:00,6
9,16173,2021-08-02 00:00:00,1
9,9806,2021-07-01 00:00:00,3
10,23343,2021-02-08 00:00:00,5
10,13705,2021-05-25 00:00:00,2
11,4610,2021-10-13 00:00:00,3
11,11584,2020-09-20 00:00:00,2
11,16275,2021-04-11 00:00:00,5
12,2624,2021-04-13 00:00:00,9
13,8725,2020-10-14 00:00:00,9
13,2921,2020-11-20 00:00:00,1
13,8676,2021-07-07 00:00:00,5
14,20049,2021-01-04 00:00:00,8
14,3161,2020-11-23 00:00:00,4
14,15166,2021-08-18 00:00:00,2
14,1711,2021-06-25 00:00:00,2
15,10935,2021-09-16 00:00:00,3
16,19861,2021-10-14 00:00:00,1
16,12841,2021-04-03 00:00:00,7
16,1303,2021-07-23 00:00:00,6
16,11579,2021-07-18 00:00:00,4
17,13965,2021-12-01 00:00:00,7
17,1927,2021-05-04 00:00:00,6
17,17170,2021-10-04 00:00:00,8
18,9154,2020-10-31 00:00:00,1
18,2164,2021-09-01 00:00:00,6
18,23541,2021-02-25 00:00:00,9
18,22440,2021-11-27 00:00:00,6
18,11549,2021-06-15 00:00:00,5
19,5420,2020-11-03 00:00:00,1
19,22121,2020-09-25 00:00:00,3
19,14864,2021-07-11 00:00:00,8
19,9789,2021-10-26 00:00:00,5
19,3169,2021-07-03 00:00:00,1
20,22316,2021-01-27 00:00:00,2
20,15623,2021-08-19 00:00:00,7
20,9510,2020-10-02 00:00:00,7
20,18601,2021-03-21 00:00:00,5
20,4496,2021-01-04 00:00:00,5
20,3152,2021-07-27 00:00:00,1
20,11430,2021-07-14 00:00:00,6
20,19376,2021-07-06 00:00:00,5
20,13858,2021-05-04 00:00:00,4
21,739,2020-11-13 00:00:00,6
21,13932,2021-03-18 00:00:00,6
21,9287,2021-04-30 00:00:00,1
21,25915,2021-04-26 00:00:00,6
21,16210,2021-02-22 00:00:00,7
21,11599,2021-06-28 00:00:00,2
21,3151,2021-11-11 00:00:00,8
22,7880,2021-02-14 00:00:00,7
22,8933,2021-03-29 00:00:00,4
25,27263,2021-12-09 00:00:00,3
26,20699,2021-05-08 00:00:00,6
26,13507,2021-08-03 00:00:00,5
26,9717,2021-11-28 00:00:00,2
27,14647,2020-11-22 00:00:00,8
27,10128,2020-09-16 00:00:00,6
27,11716,2021-08-25 00:00:00,7
27,5830,2021-08-29 00:00:00,6
28,26631,2021-03-13 00:00:00,6
29,24516,2020-12-27 00:00:00,3
29,24708,2021-01-28 00:00:00,5
30,10753,2021-04-03 00:00:00,1
30,1950,2021-05-12 00:00:00,7
30,26124,2021-05-01 00:00:00,9
30,18265,2021-01-25 00:00:00,5
30,14554,2021-02-23 00:00:00,2
31,638,2020-09-16 00:00:00,9
31,664,2021-10-07 00:00:00,3
32,23889,2021-05-15 00:00:00,6
32,8864,2021-07-22 00:00:00,5
33,6676,2021-10-23 00:00:00,9
33,22091,2021-05-16 00:00:00,2
33,12715,2020-11-07 00:00:00,8
34,1378,2021-04-05 00:00:00,8
34,14907,2020-09-25 00:00:00,2
34,24126,2021-12-09 00:00:00,8
34,21018,2021-05-20 00:00:00,1
35,9827,2021-12-04 00:00:00,2
35,17731,2020-11-14 00:00:00,4
35,2084,2020-12-19 00:00:00,6
36,17533,2021-01-23 00:00:00,4
36,8739,2020-12-11 00:00:00,9
36,25400,2021-12-19 00:00:00,8
36,22467,2021-05-18 00:00:00,6
37,11985,2021-08-30 00:00:00,3
37,15147,2021-09-14 00:00:00,4
37,9545,2021-10-09 00:00:00,7
37,5059,2020-12-03 00:00:00,5
37,3029,2021-11-16 00:00:00,3
37,9382,2020-12-09 00:00:00,5
38,2843,2021-05-31 00:00:00,9
39,5491,2021-05-24 00:00:00,1
39,12374,2020-12-12 00:00:00,9
39,15754,2021-07-27 00:00:00,8
39,15866,2021-01-04 00:00:00,4
41,5769,2021-03-07 00:00:00,1
41,15256,2021-02-13 00:00:00,7
42,6130,2021-11-06 00:00:00,8
42,10285,2021-07-20 00:00:00,2
42,19162,2021-02-04 00:00:00,2
44,23185,2021-06-11 00:00:00,7
44,22133,2021-12-02 00:00:00,8
44,1096,2020-11-16 00:00:00,3
44,6796,2021-03-16 00:00:00,6
45,19607,2021-08-29 00:00:00,1
45,567,2020-09-14 00:00:00,5
45,2738,2021-02-07 00:00:00,1
45,15721,2021-08-23 00:00:00,9
45,23108,2021-08-26 00:00:00,7
45,16385,2021-06-22 00:00:00,4
46,18844,2021-11-01 00:00:00,4
46,4859,2020-10-04 00:00:00,1
47,11557,2021-06-03 00:00:00,4
47,22380,2021-09-11 00:00:00,5
47,18933,2021-12-05 00:00:00,8
47,11030,2021-05-31 00:00:00,6
47,20389,2020-10-23 00:00:00,3
47,20391,2021-02-02 00:00:00,3
48,19622,2021-07-22 00:00:00,7
48,1410,2021-10-05 00:00:00,6
48,26280,2021-07-01 00:00:00,4
48,12471,2020-10-27 00:00:00,1
48,27127,2020-11-12 00:00:00,6
49,25117,2020-09-24 00:00:00,2
49,21932,2021-10-25 00:00:00,4
49,24574,2021-04-17 00:00:00,3
49,27077,2020-12-25 00:00:00,8
49,3306,2021-04-05 00:00:00,7
49,24252,2021-08-30 00:00:00,3
49,13304,2021-05-14 00:00:00,3
49,20391,2021-12-09 00:00:00,5
49,2531,2021-09-05 00:00:00,8
49,21565,2021-06-01 00:00:00,1
49,22720,2021-05-13 00:00:00,5
49,3129,2021-02-13 00:00:00,7
50,22820,2021-07-17 00:00:00,1
50,4113,2021-04-09 00:00:00,9
51,14761,2021-09-29 00:00:00,2
51,7739,2021-05-31 00:00:00,1
51,22664,2021-08-19 00:00:00,6
52,24498,2020-09-02 00:00:00,9
52,1827,2021-08-29 00:00:00,6
